day,week,month,year,weekend,season_canada,season_international,date_key
1,51,12,1989,f,Winter,Winter,105
7,6,2,1990,t,Winter,Winter,106
1,7,2,1990,f,Winter,Winter,107
5,8,2,1990,f,Winter,Winter,108
1,12,3,1990,f,Spring,Spring,109
1,17,4,1990,f,Spring,Spring,110
3,13,3,1991,f,Spring,Spring,111
3,20,5,1990,f,Spring,Spring,112
5,21,5,1990,f,Spring,Spring,113
3,31,8,1990,f,Summer,Summer,114
3,35,8,1990,f,Summer,Summer,115
2,24,6,1990,f,Winter,Winter,116
3,28,7,1990,f,Summer,Summer,117
4,45,11,1990,f,Autumn,Autumn,118
7,50,12,1990,t,Winter,Winter,119
4,24,6,2010,f,Winter,Winter,120
2,1,1,1991,f,Winter,Winter,121
5,2,1,1991,f,Winter,Winter,122
2,11,3,1991,f,Spring,Spring,123
1,14,4,1991,f,Spring,Spring,124
7,14,4,1991,t,Spring,Spring,125
3,18,5,1991,f,Spring,Spring,126
3,19,5,1991,f,Spring,Spring,127
6,26,6,1991,t,Winter,Winter,128
3,27,7,1991,f,Summer,Summer,129
2,28,7,1991,f,Summer,Summer,130
4,28,7,1991,f,Summer,Summer,131
1,30,7,1991,f,Summer,Summer,132
1,32,8,1991,f,Summer,Summer,133
1,34,8,1991,f,Summer,Summer,134
2,35,8,1991,f,Summer,Summer,135
4,35,8,1991,f,Summer,Summer,136
6,36,9,1991,t,Autumn,Autumn,137
4,39,9,1991,f,Autumn,Autumn,138
2,40,10,1991,f,Autumn,Autumn,139
2,41,10,1991,f,Autumn,Autumn,140
3,42,10,1991,f,Autumn,Autumn,141
5,43,10,1991,f,Autumn,Autumn,142
3,47,11,1991,f,Autumn,Autumn,143
6,48,11,1991,t,Autumn,Autumn,144
5,49,12,1991,f,Winter,Winter,145
3,1,1,1992,f,Winter,Winter,146
2,4,1,1992,f,Winter,Winter,147
6,5,2,1992,t,Winter,Winter,148
7,7,2,1992,t,Winter,Winter,149
5,35,8,1992,f,Summer,Summer,150
5,5,1,1992,f,Winter,Winter,151
5,9,2,1992,f,Winter,Winter,152
4,11,3,1992,f,Spring,Spring,153
5,11,3,1992,f,Spring,Spring,154
4,12,3,1992,f,Spring,Spring,155
4,13,3,1992,f,Spring,Spring,156
6,17,4,1992,t,Spring,Spring,157
6,19,5,1992,t,Spring,Spring,158
1,21,5,1992,f,Spring,Spring,159
1,22,5,1992,f,Spring,Spring,160
5,31,7,1992,f,Summer,Summer,161
5,51,12,1992,f,Winter,Winter,162
3,25,6,1992,f,Winter,Winter,163
5,38,9,1992,f,Autumn,Autumn,164
2,41,10,1992,f,Autumn,Autumn,165
1,52,12,1992,f,Winter,Winter,166
5,53,1,1993,f,Winter,Winter,167
1,11,3,1993,f,Spring,Spring,168
1,15,4,1993,f,Spring,Spring,169
2,17,4,1993,f,Spring,Spring,170
4,30,7,1993,f,Summer,Summer,171
7,26,7,1993,t,Summer,Summer,172
3,28,7,1993,f,Summer,Summer,173
7,29,7,1993,t,Summer,Summer,174
7,41,10,1993,t,Autumn,Autumn,175
1,44,11,1993,f,Autumn,Autumn,176
5,47,11,1993,f,Autumn,Autumn,177
7,3,1,1994,t,Winter,Winter,178
3,1,1,1994,f,Winter,Winter,179
7,2,1,1994,t,Winter,Winter,180
5,4,1,1994,f,Winter,Winter,181
6,15,4,1994,t,Spring,Spring,182
3,20,5,1994,f,Spring,Spring,183
7,20,5,1994,t,Spring,Spring,184
6,24,6,1994,t,Winter,Winter,185
7,29,7,1994,t,Summer,Summer,186
7,52,1,1995,t,Winter,Winter,187
2,27,7,1995,f,Summer,Summer,188
3,21,5,1994,f,Spring,Spring,189
1,31,8,1994,f,Summer,Summer,190
4,31,8,1994,f,Summer,Summer,191
6,34,8,1994,t,Summer,Summer,192
7,34,8,1994,t,Summer,Summer,193
1,42,10,1994,f,Autumn,Autumn,194
5,42,10,1994,f,Autumn,Autumn,195
4,49,12,1994,f,Winter,Winter,196
6,3,1,1995,t,Winter,Winter,197
5,10,3,1995,f,Spring,Spring,198
1,22,5,1995,f,Spring,Spring,199
6,13,4,1995,t,Spring,Spring,200
1,23,6,1995,f,Winter,Winter,201
2,23,6,1995,f,Winter,Winter,202
1,28,7,1995,f,Summer,Summer,203
4,28,7,1995,f,Summer,Summer,204
7,30,7,1995,t,Summer,Summer,205
5,32,8,1995,f,Summer,Summer,206
1,37,9,1995,f,Autumn,Autumn,207
2,39,9,1995,f,Autumn,Autumn,208
4,40,10,1995,f,Autumn,Autumn,209
4,46,11,1995,f,Autumn,Autumn,210
7,49,12,1995,t,Winter,Winter,211
1,48,11,1995,f,Autumn,Autumn,212
1,1,1,1996,f,Winter,Winter,213
6,7,2,1996,t,Winter,Winter,214
6,16,4,1996,t,Spring,Spring,215
5,20,5,1996,f,Spring,Spring,216
5,27,7,1996,f,Summer,Summer,217
2,29,7,1996,f,Summer,Summer,218
4,16,4,1996,f,Spring,Spring,219
1,25,6,1996,f,Winter,Winter,220
3,30,7,1996,f,Summer,Summer,221
4,32,8,1996,f,Summer,Summer,222
5,48,11,1996,f,Autumn,Autumn,223
7,52,12,1996,t,Winter,Winter,224
3,1,1,1997,f,Winter,Winter,225
4,2,1,1997,f,Winter,Winter,226
2,12,3,1997,f,Spring,Spring,227
7,13,3,1997,t,Spring,Spring,228
7,43,10,2006,t,Autumn,Autumn,229
6,16,4,1997,t,Spring,Spring,230
2,17,4,1997,f,Spring,Spring,231
4,18,5,1997,f,Spring,Spring,232
4,22,5,1997,f,Spring,Spring,233
2,24,6,1997,f,Winter,Winter,234
7,19,5,2007,t,Spring,Spring,235
4,24,6,1997,f,Winter,Winter,236
2,25,6,1997,f,Winter,Winter,237
4,28,7,1997,f,Summer,Summer,238
5,28,7,1997,f,Summer,Summer,239
1,42,10,1997,f,Autumn,Autumn,240
4,1,1,1998,f,Winter,Winter,241
7,1,1,1998,t,Winter,Winter,242
5,3,1,1998,f,Winter,Winter,243
1,11,3,1998,f,Spring,Spring,244
5,53,1,1999,f,Winter,Winter,245
7,53,1,1999,t,Winter,Winter,246
4,31,7,2008,f,Summer,Summer,247
6,13,3,1998,t,Spring,Spring,248
2,19,5,1998,f,Spring,Spring,249
4,25,6,1998,f,Winter,Winter,250
6,27,7,1998,t,Summer,Summer,251
5,28,7,1998,f,Summer,Summer,252
3,30,7,1998,f,Summer,Summer,253
6,31,8,1998,t,Summer,Summer,254
1,33,8,1998,f,Summer,Summer,255
4,52,12,1998,f,Winter,Winter,256
3,36,9,1998,f,Autumn,Autumn,257
1,48,11,1998,f,Autumn,Autumn,258
6,6,2,1999,t,Winter,Winter,259
7,7,2,1999,t,Winter,Winter,260
3,2,1,1999,f,Winter,Winter,261
1,4,1,1999,f,Winter,Winter,262
5,4,1,1999,f,Winter,Winter,263
4,6,2,1999,f,Winter,Winter,264
1,9,3,1999,f,Spring,Spring,265
5,9,3,1999,f,Spring,Spring,266
4,13,4,1999,f,Spring,Spring,267
5,16,4,1999,f,Spring,Spring,268
2,18,5,1999,f,Spring,Spring,269
6,23,6,1999,t,Winter,Winter,270
3,24,6,1999,f,Winter,Winter,271
5,24,6,1999,f,Winter,Winter,272
1,25,6,1999,f,Winter,Winter,273
1,26,6,1999,f,Winter,Winter,274
7,26,7,1999,t,Summer,Summer,275
2,27,7,1999,f,Summer,Summer,276
5,28,7,1999,f,Summer,Summer,277
1,32,8,1999,f,Summer,Summer,278
5,35,9,1999,f,Autumn,Autumn,279
2,36,9,1999,f,Autumn,Autumn,280
4,38,9,1999,f,Autumn,Autumn,281
5,38,9,1999,f,Autumn,Autumn,282
5,39,10,1999,f,Autumn,Autumn,283
2,49,12,1999,f,Winter,Winter,284
4,52,12,1999,f,Winter,Winter,285
1,3,1,2000,f,Winter,Winter,286
4,15,4,2000,f,Spring,Spring,287
4,16,4,2000,f,Spring,Spring,288
5,28,7,2000,f,Summer,Summer,289
2,31,8,2000,f,Summer,Summer,290
5,20,5,2000,f,Spring,Spring,291
1,27,7,2000,f,Summer,Summer,292
5,27,7,2000,f,Summer,Summer,293
7,43,10,2000,t,Autumn,Autumn,294
4,44,11,2000,f,Autumn,Autumn,295
1,48,11,2000,f,Autumn,Autumn,296
6,6,2,2001,t,Winter,Winter,297
7,13,4,2001,t,Spring,Spring,298
5,22,6,2001,f,Winter,Winter,299
2,31,7,2001,f,Summer,Summer,300
7,26,7,2001,t,Summer,Summer,301
2,37,9,2001,f,Autumn,Autumn,302
3,38,9,2001,f,Autumn,Autumn,303
7,15,4,2002,t,Spring,Spring,304
1,21,5,2002,f,Spring,Spring,305
2,20,5,2002,f,Spring,Spring,306
5,20,5,2002,f,Spring,Spring,307
4,22,5,2002,f,Spring,Spring,308
3,18,5,2002,f,Spring,Spring,309
7,23,6,2002,t,Winter,Winter,310
2,24,6,2002,f,Winter,Winter,311
5,25,6,2002,f,Winter,Winter,312
7,25,6,2002,t,Winter,Winter,313
1,26,6,2002,f,Winter,Winter,314
5,26,6,2002,f,Winter,Winter,315
2,27,7,2002,f,Summer,Summer,316
3,27,7,2002,f,Summer,Summer,317
2,31,7,2002,f,Summer,Summer,318
1,27,7,2002,f,Summer,Summer,319
1,33,8,2002,f,Summer,Summer,320
6,46,11,2002,t,Autumn,Autumn,321
2,4,1,2003,f,Winter,Winter,322
5,8,2,2003,f,Winter,Winter,323
6,7,2,2003,t,Winter,Winter,324
1,14,3,2003,f,Spring,Spring,325
2,14,4,2003,f,Spring,Spring,326
1,21,5,2003,f,Spring,Spring,327
2,27,7,2003,f,Summer,Summer,328
1,30,7,2003,f,Summer,Summer,329
1,32,8,2003,f,Summer,Summer,330
4,33,8,2003,f,Summer,Summer,331
1,40,9,2003,f,Autumn,Autumn,332
4,42,10,2003,f,Autumn,Autumn,333
3,8,2,2004,f,Winter,Winter,334
3,13,3,2004,f,Spring,Spring,335
3,21,5,2004,f,Spring,Spring,336
4,28,7,2004,f,Summer,Summer,337
5,27,7,2004,f,Summer,Summer,338
3,30,7,2004,f,Summer,Summer,339
2,33,8,2004,f,Summer,Summer,340
5,33,8,2004,f,Summer,Summer,341
7,52,12,2004,t,Winter,Winter,342
1,53,12,2004,f,Winter,Winter,343
1,3,1,2005,f,Winter,Winter,344
3,13,3,2005,f,Spring,Spring,345
6,16,4,2005,t,Spring,Spring,346
6,14,4,2005,t,Spring,Spring,347
3,19,5,2005,f,Spring,Spring,348
3,21,5,2005,f,Spring,Spring,349
7,21,5,2005,t,Spring,Spring,350
4,22,6,2005,f,Winter,Winter,351
1,23,6,2005,f,Winter,Winter,352
4,25,6,2005,f,Winter,Winter,353
7,34,8,2005,t,Summer,Summer,354
3,35,8,2005,f,Summer,Summer,355
2,39,9,2005,f,Autumn,Autumn,356
3,39,9,2005,f,Autumn,Autumn,357
6,38,9,2005,t,Autumn,Autumn,358
3,43,10,2005,f,Autumn,Autumn,359
2,50,12,2005,f,Winter,Winter,360
6,5,2,2006,t,Winter,Winter,361
4,15,4,2006,f,Spring,Spring,362
7,16,4,2006,t,Spring,Spring,363
6,20,5,2006,t,Spring,Spring,364
5,24,6,2006,f,Winter,Winter,365
6,21,5,2006,t,Spring,Spring,366
1,27,7,2006,f,Summer,Summer,367
2,27,7,2006,f,Summer,Summer,368
4,27,7,2006,f,Summer,Summer,369
1,30,7,2006,f,Summer,Summer,370
2,33,8,2006,f,Summer,Summer,371
6,33,8,2006,t,Summer,Summer,372
6,43,10,2006,t,Autumn,Autumn,373
5,48,12,2006,f,Winter,Winter,374
3,51,12,2006,f,Winter,Winter,375
1,50,12,2006,f,Winter,Winter,376
1,11,3,2007,f,Spring,Spring,377
2,14,4,2007,f,Spring,Spring,378
4,16,4,2007,f,Spring,Spring,379
1,17,4,2007,f,Spring,Spring,380
6,17,4,2007,t,Spring,Spring,381
4,19,5,2007,f,Spring,Spring,382
5,21,5,2007,f,Spring,Spring,383
7,21,5,2007,t,Spring,Spring,384
7,22,6,2007,t,Winter,Winter,385
2,23,6,2007,f,Winter,Winter,386
6,24,6,2007,t,Winter,Winter,387
4,27,7,2007,f,Summer,Summer,388
6,29,7,2007,t,Summer,Summer,389
5,25,6,2007,f,Winter,Winter,390
4,29,7,2007,f,Summer,Summer,391
3,31,8,2007,f,Summer,Summer,392
6,31,8,2007,t,Summer,Summer,393
3,32,8,2007,f,Summer,Summer,394
1,46,11,2007,f,Autumn,Autumn,395
1,51,12,2007,f,Winter,Winter,396
1,50,12,2007,f,Winter,Winter,397
1,5,1,2008,f,Winter,Winter,398
4,7,2,2008,f,Winter,Winter,399
1,8,2,2008,f,Winter,Winter,400
5,12,3,2008,f,Spring,Spring,401
1,16,4,2008,f,Spring,Spring,402
4,16,4,2008,f,Spring,Spring,403
5,17,4,2008,f,Spring,Spring,404
1,18,4,2008,f,Spring,Spring,405
5,22,5,2008,f,Spring,Spring,406
5,19,5,2008,f,Spring,Spring,407
5,20,5,2008,f,Spring,Spring,408
2,24,6,2008,f,Winter,Winter,409
3,22,5,2008,f,Spring,Spring,410
6,21,5,2008,t,Spring,Spring,411
6,22,5,2008,t,Spring,Spring,412
5,24,6,2008,f,Winter,Winter,413
7,26,6,2008,t,Winter,Winter,414
1,27,6,2008,f,Winter,Winter,415
5,28,7,2008,f,Summer,Summer,416
2,27,7,2008,f,Summer,Summer,417
7,29,7,2008,t,Summer,Summer,418
7,15,4,2007,t,Spring,Spring,419
2,30,7,2008,f,Summer,Summer,420
7,32,8,2008,t,Summer,Summer,421
5,33,8,2008,f,Summer,Summer,422
7,36,9,2008,t,Autumn,Autumn,423
1,38,9,2008,f,Autumn,Autumn,424
2,17,4,1979,f,Spring,Spring,425
2,23,6,1999,f,Winter,Winter,426
4,22,6,1995,f,Winter,Winter,427
1,16,4,2006,f,Spring,Spring,428
6,44,11,2007,t,Autumn,Autumn,429
7,23,6,2008,t,Winter,Winter,430
6,36,9,2008,t,Autumn,Autumn,431
1,19,5,2008,f,Spring,Spring,432
5,35,8,2008,f,Summer,Summer,433
3,31,7,2008,f,Summer,Summer,434
2,2,1,2009,f,Winter,Winter,435
5,48,11,2003,f,Autumn,Autumn,436
4,11,3,2003,f,Spring,Spring,437
5,31,8,2008,f,Summer,Summer,438
5,3,1,2000,f,Winter,Winter,439
3,14,4,2009,f,Spring,Spring,440
3,15,4,2010,f,Spring,Spring,441
5,18,5,2009,f,Spring,Spring,442
7,20,5,2010,t,Spring,Spring,443
6,17,4,2009,t,Spring,Spring,444
4,38,9,1993,f,Autumn,Autumn,445
1,39,9,2005,f,Autumn,Autumn,446
4,34,8,2009,f,Summer,Summer,447
6,31,8,2009,t,Summer,Summer,448
7,26,6,2009,t,Winter,Winter,449
7,30,7,2009,t,Summer,Summer,450
4,20,5,2009,f,Spring,Spring,451
7,14,4,2009,t,Spring,Spring,452
3,25,6,2010,f,Winter,Winter,453
2,32,8,2009,f,Summer,Summer,454
5,33,8,2009,f,Summer,Summer,455
7,34,8,2009,t,Summer,Summer,456
7,43,10,2009,t,Autumn,Autumn,457
7,44,11,2007,t,Autumn,Autumn,458
2,49,12,2007,f,Winter,Winter,459
7,39,9,2008,t,Autumn,Autumn,460
6,33,8,2010,t,Summer,Summer,461
6,29,7,2009,t,Summer,Summer,462
4,44,11,2010,f,Autumn,Autumn,463
3,21,5,2008,f,Spring,Spring,464
6,53,1,2010,t,Winter,Winter,465
2,26,6,2010,f,Winter,Winter,466
7,49,12,2010,t,Winter,Winter,467
1,50,12,2010,f,Winter,Winter,468
7,22,6,2010,t,Winter,Winter,469
4,29,7,2010,f,Summer,Summer,470
2,38,9,2010,f,Autumn,Autumn,471
3,30,7,2010,f,Summer,Summer,472
2,2,1,2010,f,Winter,Winter,473
6,53,1,1921,t,Winter,Winter,474
1,29,7,1974,f,Summer,Summer,475
7,43,10,1978,t,Autumn,Autumn,476
3,2,1,2008,f,Winter,Winter,477
3,44,11,1978,f,Autumn,Autumn,478
5,20,5,1986,f,Spring,Spring,479
2,6,2,1921,f,Winter,Winter,480
7,28,7,1986,t,Summer,Summer,481
6,13,3,1987,t,Spring,Spring,482
3,19,5,2010,f,Spring,Spring,483
5,43,10,1921,f,Autumn,Autumn,484
4,14,4,1987,f,Spring,Spring,485
3,29,7,1989,f,Summer,Summer,486
7,52,1,1922,t,Winter,Winter,487
3,34,8,1989,f,Summer,Summer,488
2,14,4,2010,f,Spring,Spring,489
4,21,5,2010,f,Spring,Spring,490
6,24,6,1922,t,Winter,Winter,491
5,29,7,1996,f,Summer,Summer,492
5,45,11,1996,f,Autumn,Autumn,493
7,48,12,2010,t,Winter,Winter,494
4,25,6,1922,f,Winter,Winter,495
4,17,4,1999,f,Spring,Spring,496
6,29,7,2005,t,Summer,Summer,497
6,39,9,1922,t,Autumn,Autumn,498
2,13,3,2009,f,Spring,Spring,499
7,9,3,2009,t,Spring,Spring,500
1,1,1,1923,f,Winter,Winter,501
7,17,4,1923,t,Spring,Spring,502
3,44,10,1924,f,Autumn,Autumn,503
2,1,1,1924,f,Winter,Winter,504
4,19,5,1925,f,Spring,Spring,505
7,52,1,1939,t,Winter,Winter,506
2,9,3,1927,f,Spring,Spring,507
7,1,1,1927,t,Winter,Winter,508
3,34,8,1927,f,Summer,Summer,509
7,52,1,1928,t,Winter,Winter,510
7,13,4,1928,t,Spring,Spring,511
2,1,1,1929,f,Winter,Winter,512
5,3,1,1929,f,Winter,Winter,513
5,14,4,1929,f,Spring,Spring,514
1,47,11,1929,f,Autumn,Autumn,515
3,1,1,1930,f,Winter,Winter,516
4,26,6,1930,f,Winter,Winter,517
5,26,6,1930,f,Winter,Winter,518
2,37,9,1931,f,Autumn,Autumn,519
4,1,1,1931,f,Winter,Winter,520
4,18,5,1933,f,Spring,Spring,521
3,43,10,1933,f,Autumn,Autumn,522
1,47,11,1933,f,Autumn,Autumn,523
5,48,12,1933,f,Winter,Winter,524
1,16,4,1934,f,Spring,Spring,525
6,22,6,1935,t,Winter,Winter,526
4,2,1,1935,f,Winter,Winter,527
2,1,1,1935,f,Winter,Winter,528
7,34,8,1935,t,Summer,Summer,529
2,11,3,1936,f,Spring,Spring,530
7,15,4,1936,t,Spring,Spring,531
1,29,7,1936,f,Summer,Summer,532
7,27,7,1936,t,Summer,Summer,533
1,12,3,1936,f,Spring,Spring,534
6,33,8,1936,t,Summer,Summer,535
2,36,9,1936,f,Autumn,Autumn,536
3,2,1,1937,f,Winter,Winter,537
1,17,4,1937,f,Spring,Spring,538
4,35,9,1938,f,Autumn,Autumn,539
1,41,10,1938,f,Autumn,Autumn,540
2,49,12,1938,f,Winter,Winter,541
4,5,2,1939,f,Winter,Winter,542
1,1,1,1940,f,Winter,Winter,543
5,11,3,1941,f,Spring,Spring,544
3,20,5,1941,f,Spring,Spring,545
6,31,8,1941,t,Summer,Summer,546
4,39,9,1941,f,Autumn,Autumn,547
4,1,1,1942,f,Winter,Winter,548
2,39,9,1942,f,Autumn,Autumn,549
6,50,12,1942,t,Winter,Winter,550
7,52,12,1942,t,Winter,Winter,551
5,36,9,1943,f,Autumn,Autumn,552
2,42,10,1943,f,Autumn,Autumn,553
6,52,1,1944,t,Winter,Winter,554
1,50,12,1944,f,Winter,Winter,555
3,29,7,1945,f,Summer,Summer,556
1,25,6,1946,f,Winter,Winter,557
1,31,7,1946,f,Summer,Summer,558
7,37,9,1946,t,Autumn,Autumn,559
4,5,1,1947,f,Winter,Winter,560
3,6,2,1947,f,Winter,Winter,561
6,14,4,1947,t,Spring,Spring,562
3,18,4,1947,f,Spring,Spring,563
1,36,9,1947,f,Autumn,Autumn,564
2,12,3,1948,f,Spring,Spring,565
3,17,4,1948,f,Spring,Spring,566
3,44,11,1950,f,Autumn,Autumn,567
6,18,5,1948,t,Spring,Spring,568
1,23,5,1948,f,Spring,Spring,569
2,38,9,1948,f,Autumn,Autumn,570
1,34,8,1949,f,Summer,Summer,571
5,36,9,1949,f,Autumn,Autumn,572
6,37,9,1949,t,Autumn,Autumn,573
7,52,1,1950,t,Winter,Winter,574
5,12,3,1950,f,Spring,Spring,575
2,14,4,1950,f,Spring,Spring,576
4,16,4,1950,f,Spring,Spring,577
5,18,5,1950,f,Spring,Spring,578
2,31,8,1950,f,Summer,Summer,579
2,47,11,1950,f,Autumn,Autumn,580
1,1,1,1951,f,Winter,Winter,581
5,6,2,1951,f,Winter,Winter,582
3,51,12,1951,f,Winter,Winter,583
1,3,1,1952,f,Winter,Winter,584
2,14,4,1952,f,Spring,Spring,585
4,1,1,1953,f,Winter,Winter,586
4,21,5,1953,f,Spring,Spring,587
2,29,7,1953,f,Summer,Summer,588
1,35,8,1953,f,Summer,Summer,589
6,4,1,1954,t,Winter,Winter,590
1,7,2,1954,f,Winter,Winter,591
3,14,4,1954,f,Spring,Spring,592
6,36,9,1954,t,Autumn,Autumn,593
6,52,1,1955,t,Winter,Winter,594
5,26,7,1955,f,Summer,Summer,595
1,28,7,1955,f,Summer,Summer,596
6,45,11,1955,t,Autumn,Autumn,597
4,41,10,1954,f,Autumn,Autumn,598
2,1,1,1956,f,Winter,Winter,599
4,35,8,1956,f,Summer,Summer,600
4,44,11,1956,f,Autumn,Autumn,601
7,49,12,1956,t,Winter,Winter,602
2,42,10,1957,f,Autumn,Autumn,603
2,1,1,1957,f,Winter,Winter,604
5,10,3,1957,f,Spring,Spring,605
7,32,8,1957,t,Summer,Summer,606
5,47,11,1957,f,Autumn,Autumn,607
3,1,1,1958,f,Winter,Winter,608
6,9,3,1958,t,Spring,Spring,609
5,45,11,1958,f,Autumn,Autumn,610
4,1,1,1959,f,Winter,Winter,611
2,25,6,1958,f,Winter,Winter,612
4,43,10,1958,f,Autumn,Autumn,613
1,8,2,1959,f,Winter,Winter,614
5,13,3,1959,f,Spring,Spring,615
6,25,6,1959,t,Winter,Winter,616
5,53,1,1960,f,Winter,Winter,617
2,22,5,1961,f,Spring,Spring,618
4,35,8,1961,f,Summer,Summer,619
4,5,2,1960,f,Winter,Winter,620
1,16,4,1960,f,Spring,Spring,621
1,19,5,1960,f,Spring,Spring,622
6,26,7,1960,t,Summer,Summer,623
3,36,9,1960,f,Autumn,Autumn,624
6,8,2,1961,t,Winter,Winter,625
7,52,1,1961,t,Winter,Winter,626
4,21,5,1961,f,Spring,Spring,627
2,50,12,1962,f,Winter,Winter,628
2,41,10,1961,f,Autumn,Autumn,629
1,1,1,1962,f,Winter,Winter,630
7,40,10,1962,t,Autumn,Autumn,631
6,13,3,1962,t,Spring,Spring,632
2,1,1,1963,f,Winter,Winter,633
1,23,6,1963,f,Winter,Winter,634
5,30,7,1963,f,Summer,Summer,635
5,41,10,1962,f,Autumn,Autumn,636
5,18,5,1963,f,Spring,Spring,637
5,48,11,1963,f,Autumn,Autumn,638
3,50,12,1963,f,Winter,Winter,639
7,37,9,1964,t,Autumn,Autumn,640
3,1,1,1964,f,Winter,Winter,641
3,38,9,1964,f,Autumn,Autumn,642
2,49,12,1964,f,Winter,Winter,643
6,13,3,1964,t,Spring,Spring,644
2,51,12,1964,f,Winter,Winter,645
5,53,1,1965,f,Winter,Winter,646
6,53,1,1965,t,Winter,Winter,647
6,1,1,1965,t,Winter,Winter,648
4,2,1,1965,f,Winter,Winter,649
4,7,2,1965,f,Winter,Winter,650
1,9,3,1965,f,Spring,Spring,651
4,27,7,1965,f,Summer,Summer,652
