fatalities,injured,evacuated,estimated_total_cost,normalized_total_cost,federal_payments,provincial_payments,insurance_payments,start_day,start_week,start_month,start_year,start_weekend,start_season_canada,end_day,end_week,end_month,end_year,end_weekend,end_season_canada,disaster_type,disaster_subgroup,disaster_group,disaster_category,magnitude,utility_people_affected,city,province,country,canada,summary
22,15,0,,,,,,7,47,11,1909,t,Autumn,7,47,11,1909,t,Autumn,Landslide,Geological,Natural,Disaster,0,0,Burnaby,BC,Canada,t,"Burnaby and New Westminster BC, November 28, 1909. 22 dead; 15 injured; slump of railway embankment; trail derailed."
0,0,0,0,0,,,,6,52,1,1910,t,Winter,6,52,1,1910,t,Winter,Drought,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies."
63,20,0,,,,,,5,3,1,1910,f,Winter,5,3,1,1910,f,Winter,Rail,Transportation accident,Technology,Incident,0,0,Spanish River,ON,Canada,t,"Spanish River ON, January 21, 1910. 63 dead, 20 injured: the back half of a CPR passenger train, en route to Minneapolis, left the track after it struck the end of a bridge."
62,0,0,,,,,,6,9,3,1910,t,Spring,6,9,3,1910,t,Spring,Avalanche,Meteorological - Hydrological,Natural,Disaster,0,0,Rogers Pass,BC,Canada,t,"Rogers Pass BC, March 5, 1910. 62 dead (CPR workers), one survivor; an avalanche struck workers as they cleared the tracks of snow dumped by a previous slide."
4,0,0,,,,,,5,15,4,1910,f,Spring,5,15,4,1910,f,Spring,Landslide,Geological,Natural,Disaster,0,0,St-Alphonse-de-Bagotville,QC,Canada,t,"St-Alphonse-de-Bagotville QC, April 15, 1910.  Construction camp buried by landslide in leda clay caused by blasting during construction of railway."
6,0,0,,,,,,1,16,4,1910,f,Spring,1,16,4,1910,f,Spring,Landslide,Geological,Natural,Disaster,0,0,Coucoucache,QC,Canada,t,"Coucoucache QC, April 18, 1910.  Slump of railway embankment; work train derailed."
73,0,200,,,,,,2,28,7,1911,f,Summer,2,28,7,1911,f,Summer,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0,Cochrane,ON,Canada,t,"Cochrane and northern region ON, July 11, 1911. A Forest fire resulted in 73 deaths (unofficially in the hundreds), 200 made homeless, 804,650 sq km destroyed."
28,100,2500,,,,,,7,26,6,1912,t,Winter,7,26,6,1912,t,Winter,Tornado,Meteorological - Hydrological,Natural,Disaster,0,0,Rega,SK,Canada,t,"Regina SK, June 30 1912. 28 dead, hundreds injured, 2500 homeless; more than 400 of the finest buildings in the city were destroyed."
3,0,0,,,,,,1,28,7,1912,f,Summer,3,28,7,1912,f,Summer,Heat Event,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Eastern Canada, July 8-10, 1912. Temperatures of >32°C from Ontario to the Atlantic Ocean; at least 3 heat-related deaths in adults were reported, while many more infant deaths were believed to occur in poor areas; one Ontario farmer committed suicide, while a mother killed her children (July 9); wheat, barley, and oats grew below average height and grade."
270,0,0,,,,,,5,45,11,1913,f,Autumn,4,46,11,1913,f,Autumn,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0,Lakes Huron,ON,Canada,t,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost."
173,0,0,,,,,,4,1,1,1914,f,Winter,4,1,1,1914,f,Winter,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Newfoundland, 1914. 173 died when the ship Southern Cross vanished in storm off coast of Newfoundland."
0,0,0,0,0,,,,4,1,1,1914,f,Winter,4,1,1,1914,f,Winter,Drought,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies."
1024,0,0,,,,,,4,22,5,1914,f,Spring,4,22,5,1914,f,Spring,Marine,Transportation accident,Technology,Incident,0,0,St. Lawrence River,QC,Canada,t,"St. Lawrence River QC, May 28 1914. 1024 dead: the CP liner Empress of Ireland collided with the Norwegian coal ship Storstad and sank in 14 minutes: many lost were members of the Salvation Army: 840 dead were passengers."
189,48,0,,,,,,5,25,6,1914,f,Winter,5,25,6,1914,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Hillcrest,AB,Canada,t,"Hillcrest AB, June 19, 1914. 189 dead, 48 survivors: a dust explosion occurred in the coal mine."
0,0,2000,,,,,,5,53,1,1915,f,Winter,5,53,1,1915,f,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,North Saskatchewan River,SK,Canada,t,"North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless."
22,0,0,,,,,,5,53,1,1915,f,Winter,5,53,1,1915,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Nanaimo,BC,Canada,t,"Nanaimo BC, 1915.  Western Fuel Company explosion killed 22 people."
19,0,0,,,,,,1,5,2,1915,f,Winter,1,5,2,1915,f,Winter,Manufacturing / Industry,Infrastructure failure,Technology,Incident,0,0,Wellgton,BC,Canada,t,"Wellington BC, February 1915. An accident at the Wellington Colliery led to the drowning of 19 miners."
56,22,0,,,,,,1,12,3,1915,f,Spring,1,12,3,1915,f,Spring,Landslide,Geological,Natural,Disaster,0,0,Cooper Me,BC,Canada,t,"Cooper Mine, Jane Camp BC, March 22, 1915. 56 dead, approximately 22 injured; a rock slide from above a portal of a mine wiped out half the buildings at a mine campsite, catching many miners in their bunkhouses."
0,0,0,,,,,,4,27,7,1915,f,Summer,5,27,7,1915,f,Summer,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Northeastern New Brunswick, July 8-9 1915."
7,0,0,,,,,,4,5,2,1916,f,Winter,4,5,2,1916,f,Winter,Residential,Fire,Technology,Incident,0,0,Ottawa,ON,Canada,t,"Ottawa ON, February 3, 1916. 7 dead; a fire destroyed the Centre Block of the Parliament buildings; only the library survived intact, due to its metal fire doors being closed."
0,0,0,,,,,,1,17,4,1916,f,Spring,1,17,4,1916,f,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Wnipeg,MB,Canada,t,"Winnipeg MB, April 24, 1916. Severe flooding in the Winnipeg area of the Red River."
233,0,8000,,,,,,6,30,7,1916,t,Summer,6,30,7,1916,t,Summer,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0,Cochrane,ON,Canada,t,"Cochrane and Matheson ON, July 29, 1916. Both were destroyed;  233 deaths (unofficially as high as 400), 8000 made homeless; the fire resulted from a small blaze started by lightening and augmented by fires started by sparks from a passing locomotive."
13,0,0,,,,,,1,37,9,1916,f,Autumn,1,37,9,1916,f,Autumn,Transportation,Infrastructure failure,Technology,Incident,0,0,Quebec City,QC,Canada,t,"Quebec City QC, September 11, 1916. A new centre span for the Quebec Bridge was being hoisted into position when it fell into the St. Lawrence River, killing 13 workmen."
34,0,0,,,,,,1,1,1,1917,f,Winter,1,1,1,1917,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Fernie,BC,Canada,t,"Fernie BC, 1917.  An explosion at the #3 mine at Coal Creek killed 34 people."
0,0,0,0,0,,,,1,1,1,1917,f,Winter,1,1,1,1917,f,Winter,Drought,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies."
65,0,0,,,,,,3,30,7,1917,f,Summer,3,30,7,1917,f,Summer,Non-Residential,Explosion,Technology,Incident,0,0,New Waterford,NS,Canada,t,"New Waterford NS, July 25, 1917. 65 dead: an explosion took place in mine #1 of the Dominion Coal Company."
1963,9000,6000,,,,,,4,49,12,1917,f,Winter,4,49,12,1917,f,Winter,Marine,Transportation accident,Technology,Incident,0,0,Halifax,NS,Canada,t,"Halifax and Dartmouth NS, December 6, 1917. 1963 dead, 9000 injured: 1600 buildings destroyed, 12000 damaged, and 6000 people left homeless. The French munitions freighter Mont Blanc collided with the Belgian relief ship Imo in Halifax Harbour: the Mont Blanc, full of ammunition, caught fire and exploded, devastating the cities of Halifax and Dartmouth: this was the largest man-made explosion ever to occur prior to the first nuclear explosion."
0,0,0,0,0,,,,2,1,1,1918,f,Winter,2,1,12,1918,f,Winter,Drought,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies."
50000,2000000,0,,,,,,2,1,1,1918,f,Winter,4,1,1,1925,f,Winter,Epidemic,Biological,Natural,Disaster,0,0,,,Canada,t,"Across Canada, 1918-1925. More than 50,000 dead, two million affected; as part of a world-wide outbreak, Spanish Influenza hit Canadians hard, affecting more than one quarter of the population. The Canadian Red Cross assisted 230 communities in 1918."
88,11,0,,,,,,3,4,1,1918,f,Winter,3,4,1,1918,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Pictou County,NS,Canada,t,"Pictou County NS, January 23, 1918. 88 dead, 11 survivors: an explosion at the Allan coal shaft in the Albion Mines between Stellarton and New Glasgow."
0,0,0,,,,,,6,41,10,1918,t,Autumn,6,41,10,1918,t,Autumn,Non-Residential,Fire,Technology,Incident,0,0,Trenton,ON,Canada,t,"Trenton ON, October 12, 1918. A munitions factory in the town of Trenton exploded as a result of an uncontrollable fire. The plant was responsible for the production of various chemicals and munitions for the war effort and employed 2500 people. The fire lasted 3 days."
343,0,0,,,,,,3,43,10,1918,f,Autumn,3,43,10,1918,f,Autumn,Marine,Transportation accident,Technology,Incident,0,0,,,Canada,t,"West coast BC, October 23, 1918. 343 dead: the CP steamship Princess Sophia, carrying miners from Yukon and Alaska, became stranded on Vanderbilt Reef.  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale.  The next day, weather conditions worsened and the ship sank, killing all on board."
0,0,0,0,0,,,,3,1,1,1919,f,Winter,3,1,12,1919,f,Winter,Drought,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies."
0,0,0,0,0,,,,4,1,1,1920,f,Winter,5,53,12,1920,f,Winter,Drought,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit."
0,0,0,,,,,,3,12,3,1920,f,Spring,7,12,3,1920,t,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Southwestern,ON,Canada,t,"Southwestern Ontario, March 17-21, 1920. Widespread flooding caused minor damages and flooded roads and railways."
4,13,,,,,,,4,30,7,1920,f,Summer,4,30,7,1920,f,Summer,Tornado,Meteorological - Hydrological,Natural,Disaster,0,0,Southeastern,SK,Canada,t,"Southeastern Saskatchewan, July 22, 1920. The tornado swept over a large portion of southeastern Saskatchewan, devastating the area. Four people died, more than a dozen were injured, and losses to property, equipment, crops and live stock were estimated to be in excess of $100,000 (1920 dollars). Many settlers lost both their homes and livelihoods in one sudden unexpected blow. Large scale relief was undertaken by the Canadian Red Cross to assist 42 affected families in Alameda, Frobisher, Lampman, Steelman, and Estevan SK."
0,0,0,,,0,0,,2,14,4,1986,f,Spring,5,14,4,1986,f,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Sat John River,NB,Canada,t,"Saint John River, between Simonds and Woodstock NB, April 1-4, 1986. Flooding occurred along sections of the Saint John River in early April 1986, due to ice jams; unusually warm weather contributed to rapid snowmelt and the breakup of river ice; several homes in Simonds were flooded and families had to be evacuated; a private airstrip was severely damaged with 3 light aircraft being submerged."
0,0,148,2893389,264639.2,908395,1984994,,2,14,4,1986,f,Spring,1,27,6,1986,f,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Icelic River,MB,Canada,t,"Icelandic and Fisher Rivers MB, April-June 1986. Little warning preceded the flood on April 1, 1986, which continued on until the end of June. A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba. Extensive damage to private, municipal and provincial property was incurred. The areas surrounding Icelandic River and Fisher River were inundated, including Peguis and Fisher River First Nation reserves (148 people were evacuated from Peguis). Major areas affected were the Dauphin Region, Portage la Prairie and the Northern Interlake regions."
0,0,0,45473000,4159115.9,0,0,45473000,4,22,5,1986,f,Spring,4,22,5,1986,f,Spring,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0,Montreal,QC,Canada,t,"Montreal QC, May 29, 1986. Hail the size of golf balls/tennis balls (up to 8 cm in diameter) fell in Montréal."
0,0,500,,,0,0,,5,22,5,1986,f,Spring,5,22,5,1986,f,Spring,Fire,Hazardous Chemicals,Technology,Incident,0,0,Canng,NS,Canada,t,"Canning NS, May 30, 1986. 500 evacuated; residents of the small farming community of Canning had to leave home after a chemical supplies warehouse caught fire and spewed hazardous fumes and smoke over the town."
0,0,500,,,0,0,,1,23,6,1986,f,Winter,1,23,6,1986,f,Winter,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0,Waswanipi reserve,QC,Canada,t,"Waswanipi Reserve QC, June 2, 1986. A major forest fire forced the evacuation of 500 people living on the Waswanipi reserve."
0,0,0,,,0,0,,3,20,5,1986,f,Spring,4,20,5,1986,f,Spring,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,0,Southern,AB,Canada,t,"Southern Alberta, May 14-15, 1986. A 2-day storm, described as the worst spring storm in living memory in Alberta, brought knee-deep snow and 80 km/h winds; dozens of communities were left without services."
0,0,1000,,,0,0,,4,20,5,1986,f,Spring,5,20,5,1986,f,Spring,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0,Gr Falls,NL,Canada,t,"Grand Falls NL, May 15-16, 1986. 1000 evacuated at Grand Falls; among the worst of a series of more than 100 Forest fires burning across Eastern Canada as a result of unseasonably warm, dry weather."
0,0,1000,,,0,0,,4,20,5,1986,f,Spring,5,20,5,1986,f,Spring,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0,Upper Gagetown,NB,Canada,t,"Upper Gagetown and Burton NB, May 15-16, 1986. 1000 evacuated between Upper Gagetown and Burton; among the worst of a series of more than 100 forest fires burning across Eastern Canada as a result of unseasonably warm, dry weather."
0,0,50,,,0,0,,6,14,4,1987,t,Spring,6,14,4,1987,t,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Lake St. Clair,ON,Canada,t,"Lake St. Clair ON, April 4, 1987. A storm with northerly winds of almost 60 km/h caused severe flood damage along Lake St. Clair; 50 evacuated; lower floors were flooded in 100 homes."
1,0,0,17889807,1636262.8,9484477,8405330,,3,29,7,1986,f,Summer,4,30,7,1986,f,Summer,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,,SK,Canada,t,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system."
0,0,0,,,0,0,,7,43,10,1986,t,Autumn,7,43,10,1986,t,Autumn,Residential,Fire,Technology,Incident,0,0,Montreal,QC,Canada,t,"Montreal and Westmount QC, October 26, 1986. At 4:54 pm, a fire struck the 10th floor of the Plaza Alexis-Nihon office tower. It took 200 fire-fighters around 13 hours to stop the blaze."
2,0,0,,,0,0,,5,45,11,1986,f,Autumn,5,45,11,1986,f,Autumn,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,0,Wnipeg,MB,Canada,t,"Winnipeg MB, November 7, 1986. A major storm dumped 30 cm of snow on Winnipeg; winds gusting to 90 km/h produced severe blowing snow and zero visibility; 2 dead."
0,0,0,24891000,2180233.6,0,0,24891000,5,22,5,1987,f,Spring,5,22,5,1987,f,Spring,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0,Montreal,QC,Canada,t,"Montreal QC, May 29, 1987. The worst hailstorm on record in the province. Hailstones of 10-12 mm in diameter caused damage to trees, gardens, window glass, automobiles and roofs."
0,0,0,,,0,0,,1,28,7,1987,f,Summer,1,28,7,1987,f,Summer,Tornado,Meteorological - Hydrological,Natural,Disaster,0,0,Wnipeg,MB,Canada,t,"Winnipeg MB, July 6, 1987. A thunderstorm caused at least 2 tornadoes in Winnipeg; strong winds and 40 mm of rain in two and a half hours caused flash flooding and resulted in considerable property damage."
2,0,0,64216681,5624818.8,6473041,13065640,44678000,2,29,7,1987,f,Summer,2,29,7,1987,f,Summer,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Montreal,QC,Canada,t,"Montreal QC, July 14, 1987. The city experienced severe thunderstorms and intense rainfall with 100 mm of rain in 1 hour. Major expressways were flooded with over three metres of water; in 30 minutes the subterranean Decarie Expressway was flooded with 3.6 metres of water; the sewer system was backed up, flooding approximately 40,000 homes and businesses; the subway system was closed; 2 dead: one from drowning in his car and the other was electrocuted.  There was also a tornado caused by the severe thunderstorm which uprooted large trees and toppled hydro lines."
0,0,300,,,0,0,,4,40,10,1987,f,Autumn,4,40,10,1987,f,Autumn,Derailment Release,Hazardous Chemicals,Technology,Incident,0,0,Emerson,MB,Canada,t,"Emerson MB, October 1987. A CN Rail propane tanker and two other cars derailed south of Emerson, forcing 300 area residents to evacuate."
0,0,0,,,0,0,,5,53,1,1988,f,Winter,5,53,1,1988,f,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Goulais River,ON,Canada,t,"Goulais River ON, 1988."
0,0,500,,,0,0,,5,53,1,1988,f,Winter,5,53,1,1988,f,Winter,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0,Whitedog Lake,ON,Canada,t,"Whitedog Lake ON, 1988. 500 evacuated."
0,0,0,,,0,0,,5,53,1,1988,f,Winter,5,53,1,1988,f,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Northern British Columbia, 1988."
27,600,1700,181125959,15865047.5,19948463,12800496,148377000,5,31,7,1987,f,Summer,5,31,7,1987,f,Summer,Tornado,Meteorological - Hydrological,Natural,Disaster,0,0,Edmonton,AB,Canada,t,"Edmonton AB, July 31, 1987. 27 dead, 600 injured, 1700 homeless; widespread heavy rainfall from a powerful tornado hit Edmonton on July 31,1987; 300 mm of rain fell in 3 days; the Smoky, Wapiti, Simonette, and Kakwa Rivers rose up to 7-8 metres in some areas; the tornado touched down in Edmonton and moved northeast; hailstorms were reported during the tornado; much of the damage was caused by hailstorms accompanying the tornado."
0,0,0,,,0,0,,1,10,3,1988,f,Spring,1,10,3,1988,f,Spring,Marine Release,Hazardous Chemicals,Technology,Incident,0,0,Come by Chance,NL,Canada,t,"Come by Chance NL, March 7, 1988. A ship released a total of 80 m³ of oil in two consecutive spills;  the pollution affected one km of the shore and required a clean-up operation."
0,0,0,2323137,195770,619569,1703568,,5,13,4,1988,f,Spring,5,13,4,1988,f,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Duck Mounta,MB,Canada,t,"Duck Mountain and Swan River MB, April 1, 1988. A sudden thaw along with excessive rain produced severe flooding in the Duck Mountain-Swan River area of Manitoba. Damages occurred  to private, municipal and provincial property."
0,0,0,,,0,0,,7,18,5,1988,t,Spring,7,18,5,1988,t,Spring,Marine Release,Hazardous Chemicals,Technology,Incident,0,0,Sat-Romuald,QC,Canada,t,"Saint-Romuald, near Québec Harbour QC, May 8, 1988. A major fuel spill occurred at a loading dock."
0,0,0,,,0,0,,2,19,5,1988,f,Spring,2,19,5,1988,f,Spring,Derailment Release,Hazardous Chemicals,Technology,Incident,0,0,Lton,QC,Canada,t,"Linton QC, May 10, 1988. A train derailed due to the collapse of the track in a section where the supporting dike was washed out;  four cars released a total of 26 tonnes of heating oil into the Batiscan River; fish breeding operations were disrupted (change in the taste of the fish)."
0,0,0,,,0,0,,2,21,5,1988,f,Spring,2,21,5,1988,f,Spring,Leak / Spill Release,Hazardous Chemicals,Technology,Incident,0,0,Sarnia,ON,Canada,t,"Sarnia ON, May 24, 1988. An electrical breakdown caused the accidental release of 9.6 tonnes of acrylonitryle into the St. Clair River; maximum concentration limits were detected, and the collection of drinking water from the river was stopped for two days."
0,0,0,,,0,0,,6,22,6,1988,t,Winter,6,23,6,1988,t,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Lethbridge,AB,Canada,t,"Lethbridge, Taber, Irma and Wainwright AB, June 4-11, 1988. Flooding due to severe weather."
0,0,0,,,0,0,,1,25,6,1988,f,Winter,1,25,6,1988,f,Winter,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,0,Louiseville,QC,Canada,t,"Louiseville, Yamachiche and St.-Justin Region of Trois-Rivières QC, June 20, 1988. A storm system created violent winds which destroyed several houses and caused damage to telephone lines, businesses and agricultural lands."
0,0,0,,,0,0,,2,26,6,1988,f,Winter,3,26,6,1988,f,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Central,AB,Canada,t,"Central and Southern AB, June 28-29, 1988."
